participant_id	species	sex
sub-1001372857	Homo Sapiens	M
sub-1005024327	Homo Sapiens	F
sub-1010207282	Homo Sapiens	M
sub-1122692698	Homo Sapiens, Homo sapiens	M
sub-1154304730	Homo sapiens	M
sub-548298531	Homo sapiens	M
sub-569800644	Homo sapiens	M
sub-596832620	Homo sapiens	M
sub-601901227	Homo sapiens	F
sub-611526465	Homo sapiens	M
sub-648220984	Homo Sapiens	M
sub-651940947	Homo sapiens, Homo Sapiens	M
sub-653027578	Homo Sapiens	F
sub-653718968	Homo Sapiens	M
sub-656856430	Homo Sapiens	F
sub-660473566	Homo Sapiens	M
sub-665691251	Homo sapiens	M
sub-672118436	Homo Sapiens	F
sub-672637567	Homo Sapiens	M
sub-674562997	Homo Sapiens	F
sub-676839274	Homo Sapiens	F
sub-685740095	Homo Sapiens, Homo sapiens	F
sub-689168779	Homo Sapiens	M
sub-695464588	Homo Sapiens	M
sub-700619648	Homo Sapiens, Homo sapiens	M
sub-712700908	Homo Sapiens	F
sub-720619787	Homo Sapiens	F
sub-731978186	Homo Sapiens	M
sub-737373545	Homo Sapiens	M
sub-766758349	Homo Sapiens	M
sub-768678784	Homo Sapiens	M
sub-770227957	Homo Sapiens	M
sub-783453365	Homo Sapiens	M
sub-797676582	Homo Sapiens	M
sub-805678822	Homo Sapiens	M
sub-811677083	Homo Sapiens	M
sub-813481439	Homo Sapiens	M
sub-832340431	Homo Sapiens	M
sub-835477230	Homo Sapiens, Homo sapiens	F
sub-839796862	Homo Sapiens	F
sub-852318897	Homo Sapiens	M
sub-854418264	Homo Sapiens	F
sub-857183962	Homo Sapiens	M
sub-868104622	Homo Sapiens	M
sub-879881396	Homo Sapiens	M
sub-880899813	Homo Sapiens	M
sub-902323111	Homo Sapiens	M
sub-910872916	Homo Sapiens	M
sub-922967568	Homo Sapiens	M
sub-932737114	Homo Sapiens	M
sub-965157881	Homo Sapiens	F
sub-977091139	Homo Sapiens	unknown
sub-991969173	Homo Sapiens	F
